id,gender,age,topic,sign,date,text
1058543,female,24,indUnk,Sagittarius,"02,August,2004","        1 Corinthians 5:11 'But now I have written to you not to keep company with anyone named a brother, who is sexually immoral, or covetous, or an idolater, or a reviler, or a drunkard, or an extortioner - not even to eat with such a person.'   Sounds somewhat simple now, right?  Wrong.  Applying this verse to my life is very hard.  My sister fits these things and now I need to figure out how to be obedient to this.  How much time is it okay to spend with her?  Are my parents supposed to ostricize her out of the family?  I don't know.  My uncle mostly, and also my cousins, probably claim to many people that they are Christians, yet they are drunks.  Am I not to go to any family functions?  Am I supposed to be like my Grandad and just pretend like it's not going on?  This is what I am going to seek out.         "
3440336,female,23,Arts,Virgo,"08,July,2004","       Having moved to Jersey City nearly a month ago, I had no idea that I would be packing up to camp out in my original homeland, the Philippines. Well, perhaps my homeland away from homeland...in New Jersey. Familiarizing myself with the new neighborhood, I strolled down West Side Avenue and was dumbfounded to see the large wooden sign overhead the local store with the carved lettering, Filipinas Market. Wait, that's Me. I'm a Filipina. I even have perfume called Filipina. The extraordinary woman who arranged my adoption back in 1980 gave it to me a few years ago for my birthday. I only use it on special occasions, hoping to make it last until the bottle is bone dry. And even then, it's like the puny little puddle of molasses like shampoo that might take days to finally ooze out, but if you add a little water and shake it up like a martini, voila, you have yourself watered down, bubbly, yet officially usable shampoo.  When I first started riding the bus to the path station, I found myself surrounded by distant relatives and familiar faces. And my nose! When I was young, some kids would ask my why my nose was flatter than theirs. It never bothered me, I was used to it, and as a tomboy, I could beat up the biggest boy in my class. In fact, up until high school I was known for being able to throw the ball farther than all the boys. OK, now I'm just bragging. But I would usually shrug off their perfectly innocent question and resume digging in the dirt, looking for gold using a twig.   When I was 14, my parents took me back to the Philippines, which allowed me to embrace the culture and to see my heritage. Granted, I was at the age where it was embarrassing to be seen with your parents and especially agitating when you have to wear a fanny pack, but it wasn't difficult to see that the Filipino people embraced a sweet demeanor and donned warm smiles. That would explain why I got the rep for 'Always Smiling,' in my 8th grade year book. I had to change schools after that, since every moment after that, when I did not display the freeze frame all whites Crest smile, people asked if I was OK. Recently, I have acquired more of a 'Don't mess with me, on subway, walking or anywhere look,' for city life though.  Waiting for the bus this morning, I met a woman, who knew from Adam and Eve that I was Filipino. She didn't believe that I worked in Manhattan, telling me the dreaded, 'you look like your still in high school...' tell me something I don't know. I tried to explain that I was from Connecticut but I think she may have been slightly confused. She was sweeter than a butter cookie and she made me feel right at home.          "
3546243,female,24,indUnk,Taurus,"02,July,2004","              urlLink Hey, Metro! Need To Save Money? Take a Hike.   And this comes on the heels of the second fare hike in two years to make up for the parking attendants stealing cash out of the tills.  'Nation's finest public transportation system,' my ass.         "
3367064,female,26,indUnk,Taurus,"29,July,2004","             The most hilarious movie I have seen this year.. a comedy movie with absolutely no trace of slapstick. (When was the last time Hollywood came up with a pure comedy?) The catch: the movie is in French, the subtitles can capture only so much of the essence of the dialogues.  It revolves around a tiny fishing village in Quebec, where the only job for men is to go and collect weekly welfare checks. A completely dull and dreary existence. Their lives takes a new turn when they come to know that a small industry is considering their village for a plant. That means employment for all the youth. But there is only one thing they lack: they need to find a permanent residing doctor for the village. They send out 'brochures' on their village to all doctors in Montreal. One urbane doctor bites and decides to check out the village to escape a traffic offense (didnt really understand that part). He loves cricket, and the villagers have no clue what 'cricket' is. With the help of internet and&nbsp; a Lagaan-type song, they end up creating costumes, a make-shift 'stadium' and bats from oars. Now the doctor comes to visit and he is shocked to see men clad in cricket costumes at a distance. He insists he wants to watch the match. Poor villagers have no clue how the game is played. Suddenly a wise man comes up with a brilliant idea and he starts jumping up and down saying he won the match. Everybody follows. The poor doctor is shocked that both sides seem to have won but leaves the game anyways, bedazzled.  Such hilarious sequences fill the movie. The game of seduction for a young doctor, by a whole village. The film sure deserves the box office success it enjoyed in Canada (the second highest-grosser of all time).  &nbsp;           "
3590478,female,34,Technology,Capricorn,"20,April,2004","              Short of being attached to the bumper of a pickup truck by a cock ring and being dragged around the 'great' state of Texas, I can't think of anything more painful than watching 'The Sweetest Thing,' which signals the end of Cameron Diaz's sanity, if not her career.  As far as I'm concerned, a great career move for Matthew Lillard would be decapitation.  Does anybody want to see Norm Macdonald in anything? At all? I'd like to see somebody toss him into the gorilla cage at the zoo and see how funny he can be. He screams 'actor' with the same conviction with which Richard Simmons screams 'straight.'  It appears that James Van Der Beek has spent the post-Dawson's Creek years receiving electroshock therapy.  In 'Mr. Wrong,' director Nick Castle combines two things that don't go together: romantic comedy and an episode of Bugs Bunny. After directing this and the awful 'Major Payne,' I think Nick should be required to sit in on all the screenings of his next movie and take questions afterward, such as this one: 'Can I beat the shit out of you in the parking lot, or should we get it over with here?'  Vertical Limit: . Climb, climb, climb, avalanche, climb, climb, Nitro-Glycerin explosion, climb, climb, awful dialogue, climb, climb, helicopter, climb, climb, cool action scenes that were shown to death in the previews, climb, climb, random death, climb, climb, credits. I just saved you 7 bucks.  I've always contended that Chris O'Donnell has the screen presence of a fried egg, and his performance here has done nothing to change my mind. Also on hand to humiliate himself is the formerly reliable actor Scott Glenn, who plays a gruff old mountain man looks like he's made of burlap. But the true standout of the cast is Robin Tunney. If there is a more vacuous and vacant actress currently alive in this world, then I'm Fred Gwynne. From her roles in The Craft to End of Days to Supernova, she is consistently and irretrievably awful. In Vertical Limit, she plays a climbing expert (excuse me while I snort Pepsi out of my nose) who spends the entire movie literally freezing to death, and Tunney can't even blow a nasal snot bubble convincingly.  Whoever thought Matthew Lillard should do Shakespeare has severe brain lesions. Whoever thought Alicia Silverstone should sing on camera is on drugs I never knew existed.   I feel bad for Jean-Claude Van Damme's proctologist. If his acting is any indication, it must take a lot of time and several hydraulic tools to get that guy's ass cheeks to separate. He walks around like he's some kind of frozen treat: Jean-Claude on a stick. You could sharpen a pencil if you got close enough to jam one into his rear end. The only thing stiffer than the guy's strut is his personality, which has all the flexibility of Margaret Thatcher at a rave after five double espressos.  This film is so bad that it actually casts doubt on the significance of Dylan's music career, because anybody whose soul is full of this much pretentious bullshit would barely be able to hold his own in a karaoke bar. If you didn't know that Dylan was more full of himself than a naked Tommy Lee on a heroin binge, you're about to learn.  Now, I don't know if they were paying Isabella Miko by the word or what, but all she does is scream and run around topless at the slightest provocation. I'm not sure this qualifies as acting so much as appropriate Hollywood party behavior, which may explain how Isabella got discovered.  Kermit the Frog and Miss Piggy have better chemistry than Sean Connery and Catherine Zeta-Jones. Besides, Zeta-Jones could give Melanie Griffith a run for the 'Please Stop Acting Before I Choke on My Own Tongue' award. She plays the part like a 15-year-old who's just learned she isn't getting the Beemer for her sixteenth birthday.  I'm going to find Ted Danson and kick his ass for not beaning Shelly Long with a shot glass during 'Cheers' and eliminating that particular Hollywood plague at the source. The fact that the film studios haven't figured out yet that Shelly Long shouldn't be allowed in any more motion pictures is reason enough to hope for a massive earthquake that sends Hollywood to the bottom of the ocean floor.  The Corporation seems like the brainchild of 3 movie execs who aim to conceive a movie while completely high on marijuana. How’s THIS for a recipe? ”We take The Firm, that Cruise flick that’s ripped off more often than a hotel bathrobe, mix it with something old like The Stepford Wives, throw in a few pointless sex scenes, hire one of those 90210 freaks, and get Roger Corman to sign the check! Andrew Stevens will direct. He’d direct rush hour traffic for two donuts and cab fare. Oh, and call the Mom from ET. We need someone to overact and humiliate themselves badly.” ”Which 90210 kid? The short little Michael J. Fox clone, or the tall brooding James Dean wannabe?” ”No, I was thinking that bland lifeless blonde one! The one that’s NEVER BEEN IN A MOVIE before!” ”Ian Ziering???” Does he have an agent? Does he even have a phone?”  Speaking of stupid, has anyone else noticed that Tara Reid is so artificially tan that she looks like one of the Oompah-Loompahs from 'Willy Wonka and the Chocolate Factory.' Her eyes appear so freakishly bright because of her unnatural skin tone that even when I close my eyes now, I can see the spots burned into my retinas.  The director of this movie is David Zucker, the guy who made 'Airplane.' It's hard to imagine what this guy has done to himself in the last couple of decades to become so unfunny, but my guess is that it probably involved Christian Science and LSD.  Here's the exact moment when I knew 'Die Another Day,' the 20th James Bond film, was going to get nuked: Madonna's cameo appearance. And it's not like the woman just walks across the screen and you say, 'Oh look, its Madonna.' No, she has a speaking part with actual full sentences. I don't know where the definition of 'kiss of death' is in the Hollywood lexicon but 'Madonna has a speaking part' is an indication that you're getting close. This woman couldn't be stiffer if she had an icicle in her rectum.   Sofia Coppola wrote and directed this film, which means twice the failure. Her direction reminded me of her acting in 'Godfather 3,' a performance that had every critic in America pondering whether she'd look better in a Burger King or a McDonald's uniform.   New tagline for marketing campaign: 'Better than 'Gigli'!'  Forget the 'Saturday Night Live' curse; how about the 'Friends' curse? Death would seem a welcome release compared to a life of starring roles in such gems as 'Ed', 'The Pallbearer' and 'Fools rush in.' Memo to Matthew Perry (and all the 'Friends' for that matter): more Vicadin, not less.   Putting Winona Ryder in an action thriller like 'Alien' makes about as much sense as letting Marlon Brando lead a Jazzercise video. Her character is about as interesting as a pound of alien dung.  Never mind that casting Ben Affleck as a street tough and Jennifer Lopez as a lesbian stretches believability more than casting John Goodman as Peter Pan. Welcome to Hollywood and the Anne Heche-ization of lesbianism. Not only is lesbianism a transitory sexual preference, to be waved around like a Chanel purse, but it's also a great marketing tool!  I just can't emphasize enough how bad it all is. I mean, it's such a disaster it may resurrect Lawrence-Hilton Jacobs' career. He'll be able to defend himself by saying 'at least I didn't make 'Battlefield Earth',' and executives will have to acknowledge that he has a point.   'Bad Boys 2' is a 150-minute life-sucking experience. It's like that scene in 'The Princess Bride' where Prince Humperdink turns the machine up to '50' and sucks 50 years of Wesley's life away.   I don't know where anybody got the idea that Chris Rock could act, but the guy is making about as much progress in his new career as Corey Feldman is as a pop singer.   Since I can do no public service by discussing this film, I'd like to offer some guidelines for filmmakers who consider endeavors of this nature in the future.  1.No more film adaptations of bad American sitcoms.  2.Should, by some oversight, such a film adaptation be made, original cast members may not appear in them -- not even in a pathetic 'hey look, that guy is still alive' cameo.  3.If such a film lasts longer than 85 minutes, the filmmakers shall be considered to be in violation of the audience's basic human rights.  4.Producers are prohibited from casting any of the following people in a speaking role: Tom Arnold, Jim Varney, Ed Begley, Jr., any current or former cast member from Saturday Night Live, any person who was part of the '80s Brat Pack, any member of the Sheen or Baldwin families, Fran Drescher, Florence Henderson and Shelly Long. Especially Shelly Long.  Any violation of above rules will result in the filmmaker's compulsory attendance at next year's Academy Awards ceremony, where he will have his head chopped off onstage in a gala musical tribute to mediocrity.           "
3903897,male,27,Technology,Sagittarius,"24,July,2004","   I've completed another application -- AND, I got an interview for next week for a PC Tech job w/Florence County!   I don't know if I'll get the job, but at least I have an interview!  That's progress at least.    In other news, I was too sick to hang out w/my friends the other day :-( , but I'm feeling better now.    *gasp*  I don't know what I'll do with myself if I actually get a job in the 30-43k range!  I might explode!  :-)   Parrrrty!   "
714252,male,25,Technology,Leo,"24,June,2003",                 Grr Blogger giving me jip. /me boots the side of the internet with his shoes               
2994904,female,40,indUnk,Pisces,"06,April,2004","       Welcome Shapely Tank Knitalongers! If you would like to be an active member of this blog just  urlLink send me an email . You can share your progress, pictures, questions, frustrations, etc. with us. I have been trying to set this up for days using my ftp server but I keep getting some stupid error that neither my husband or I can figure out. So for now it's at Blogspot and has a banner ad. Sorry.         "
1304830,female,14,Education,Libra,"01,July,2003",        Everyone look!!  v v v v v v v v v JieXi's surname is... v v v   LU!!!!!!!!!!!!!!!!           
729786,female,26,indUnk,Gemini,"28,July,2004","            urlLink Stamp and Shout  has tons of AbB and anti-G0P stickers, decals, etc... for  cheap !           "
